Data Type,Item Name,From Date,To Date
NIC-2008,"manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and board",2008-2009,2023-2024
NIC-2008,manufacture of watches and clocks,2008-2009,2023-2024
NIC-2008,manufacture of weapons and ammunition,2008-2009,2023-2024
NIC-2008,manufacture of wearing apparel,2008-2009,2023-2024
NIC-2008,"manufacture of wearing apparel, except fur apparel",2008-2009,2023-2024
NIC-2008,manufacture of wines,2008-2009,2023-2024
NIC-2008,manufacture of wiring and wiring devices,2008-2009,2023-2024
NIC-2008,manufacture of wiring devices,2008-2009,2023-2024
NIC-2008,"manufacture of woodand of products of wood and cork,except furniture;  manufacture  of articles  of straw and  plaiting  materials",2008-2009,2023-2024
NIC-2008,manufacture of wooden containers,2008-2009,2023-2024
NIC-2008,materials recovery,2008-2009,2023-2024
NIC-2008,mining and quarrying n.e.c.,2008-2009,2023-2024
NIC-2008,other manufacturing,2008-2009,2023-2024
NIC-2008,other manufacturing n.e.c.,2008-2009,2023-2024
NIC-2008,other mining and quarrying,2008-2009,2023-2024
NIC-2008,other publishing activities,2008-2009,2023-2024
NIC-2008,Others,2008-2009,2023-2024
NIC-2008,post-harvest crop activities,2008-2009,2023-2024
NIC-2008,preparation and spinning of textile fibres,2008-2009,2023-2024
NIC-2008,printing,2008-2009,2023-2024
NIC-2008,"printing and reproduction of recorded media (this division excludes publishing activities, see section J for publishing activities",2008-2009,2023-2024
NIC-2008,printing and service activities related to printing,2008-2009,2023-2024
NIC-2008,"processing  and  preserving  of  fish,  crustaceans  and  molluscs  and products there of",2008-2009,2023-2024
NIC-2008,"processing and preserving of fish, crustaceans and molluscs and products thereof",2008-2009,2023-2024
NIC-2008,processing and preserving of fruit and vegetables,2008-2009,2023-2024
NIC-2008,processing and preserving of meat,2008-2009,2023-2024
NIC-2008,publishing activities,2008-2009,2023-2024
NIC-2008,"publishing of books, periodicals and other publishing activities",2008-2009,2023-2024
NIC-2008,"publishing of newspapers, journals and periodicals",2008-2009,2023-2024
NIC-2008,repair and installation of machinery and equipment,2008-2009,2023-2024
NIC-2008,repair of electrical equipment,2008-2009,2023-2024
NIC-2008,repair of electronic and optical equipment,2008-2009,2023-2024
NIC-2008,repair of fabricated metal products,2008-2009,2023-2024
NIC-2008,"repair of fabricated metal products, machinery and equipment",2008-2009,2023-2024
NIC-2008,repair of machinery,2008-2009,2023-2024
NIC-2008,repair of other equipment,2008-2009,2023-2024
NIC-2008,"repair of transport equipment, except motor vehicles",2008-2009,2023-2024
NIC-2008,reproduction of recorded media,2008-2009,2023-2024
NIC-2008,saw milling and planing of wood,2008-2009,2023-2024
NIC-2008,seed processing for propagation,2008-2009,2023-2024
NIC-2008,service activities related to printing,2008-2009,2023-2024
NIC-2008,"spinning, weaving and finishing of textiles",2008-2009,2023-2024
NIC-2008,support activities to agriculture and post-harvest crop activities,2008-2009,2023-2024
NIC-2008,tanning and dressing of leather; dressing and dyeing of fur,2008-2009,2023-2024
NIC-2008,"tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",2008-2009,2023-2024
NIC-2008,Total,2008-2009,2023-2024
NIC-2008,treatment and disposal of hazardous waste,2008-2009,2023-2024
NIC-2008,treatment and disposal of non-hazardous waste,2008-2009,2023-2024
NIC-2008,waste collection,2008-2009,2023-2024
NIC-2008,"waste collection, treatment and disposal activities; materials recovery",2008-2009,2023-2024
NIC-2008,Waste treatment and disposal,2008-2009,2023-2024
NIC-2008,weaving of textiles,2008-2009,2023-2024
,,,
,,,
,,,
,,,
